14.12.2023, 13:37

Current Entropy: 0,74642

Resolution Recommendation: 

Entropy; type; c-index; a/p-index;resolution
0; J; 1; 1; 1
0; J; 2; 1; 1

Aggregated Judgement Matrix

; a1; ; a2; ; a3; ; 
c1; A; B; A; B; A; ; 
c2; A; B; A; X; A; ; 
c3; A; ; B; ; A; ; 


Aggregated Preferences

c1; ; ; c2; ; ; c3; ; ; 
1; 1; 0; 1; 1; 0; 0; 0; 1; 


Rank Acceptability Indices

; r1; r2; r3; 
a1; 0,27; 0,41; 0,32; 
a2; 0; 0,59; 0,41; 
a3; 1; 0; 0; 


Judgement Entropy Matrix

; a1; ; a2; ; a3; ; 
c1; 0,9265; 0; 0,72193; 0,76159; -; ; 
c2; 0,93465; 0; 0,77935; 0,70884; -; ; 
c3; -; ; -; ; -; ; 


Preference Entropies

c1; ; ; c2; ; ; c3; ; ; 
0,72193; 0,77063; -; 0,77063; 0,72193; -; -; -; 0,74642; 


Current Judgement Acceptability Indices
for a0 wins

; a1; ; a2; ; a3; ; 
c1; 0,27; 0; 0,1; 0,17; -; ; 
c2; 0,27; 0; 0,15; 0,12; -; ; 
c3; -; ; -; ; -; ; 


for a1 wins

; a1; ; a2; ; a3; ; 
c1; 0; 0; 0; 0; -; ; 
c2; 0; 0; 0; 0; -; ; 
c3; -; ; -; ; -; ; 


for a2 wins

; a1; ; a2; ; a3; ; 
c1; 0,52; 0,48; 0,4; 0,6; -; ; 
c2; 0,5; 0,5; 0,5; 0,5; -; ; 
c3; -; ; -; ; -; ; 


Potential Judgement Acceptability Indices
for a0 wins

; a1; ; a2; ; a3; ; 
c1; 0,34177215189873417; 0; 0,2; 0,22077922077922077; -; ; 
c2; 0,35064935064935066; 0; 0,23076923076923078; 0,1935483870967742; -; ; 
c3; -; ; -; ; -; ; 


for a1 wins

; a1; ; a2; ; a3; ; 
c1; 0; 0; 0; 0; -; ; 
c2; 0; 0; 0; 0; -; ; 
c3; -; ; -; ; -; ; 


for a2 wins

; a1; ; a2; ; a3; ; 
c1; 0,6582278481012658; 1; 0,8; 0,7792207792207793; -; ; 
c2; 0,6493506493506493; 1; 0,7692307692307693; 0,8064516129032258; -; ; 
c3; -; ; -; ; -; ; 


Current Preference Acceptability Indices

; c1; ; ; c2; ; ; c3; ; ; 
a1; 0,13; 0,14; -; 0,14; 0,13; -; -; -; 0,27; 
a2; 0; 0; -; 0; 0; -; -; -; 0; 
a3; 0,52; 0,48; -; 0,48; 0,52; -; -; -; 1; 


Potential Preference Acceptability Indices

; c1; ; ; c2; ; ; c3; ; ; 
a1; 0,2; 0,22580645161290325; -; 0,22580645161290325; 0,2; -; -; -; 0,2125984251968504; 
a2; 0; 0; -; 0; 0; -; -; -; 0; 
a3; 0,8; 0,7741935483870968; -; 0,7741935483870968; 0,8; -; -; -; 0,7874015748031497; 


